Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, LinAccX, LinAccY, LinAccZ, GRV1, GRV2, GRV3 ,GRV4 ,ROT1, ROT2, ROT3, ROT4, Pressure, Temperature
514755, -3.0390625, -5.875, 7.41015625, -0.552734375, 0.013671875, 0.197265625, 19.3125, 15.0625, -27.5625, 0.0078125, -0.046875, -0.01953125, -1.16552734375, -0.853759765625, 3.279541015625, 1.77685546875, -0.31536865234375, -0.162109375, 0.76385498046875, 0.539306640625, 1015.987060546875, 31.063720703125
514855, -3.0390625, -5.76171875, 7.37109375, 0.046875, 0.0078125, -0.005859375, 20.4375, 14.4375, -25.5625, -0.0625, -0.125, 0.1796875, -1.16943359375, -0.831787109375, 3.28369140625, 1.777099609375, -0.31591796875, -0.16168212890625, 0.7642822265625, 0.5384521484375, 1015.98388671875, 31.063720703125
514957, -3.0390625, -5.875, 7.4453125, -0.0546875, 0.00390625, 0.029296875, 20.3125, 15.6875, -26.3125, 0.0390625, -0.0546875, 0.03125, -1.1826171875, -0.802490234375, 3.263427734375, 1.81884765625, -0.31646728515625, -0.1612548828125, 0.76483154296875, 0.5374755859375, 1015.98388671875, 31.063720703125
515059, -3.0390625, -5.875, 7.484375, 0.0234375, 0.009765625, 0.025390625, 20.6875, 15.625, -27.4375, 0.0078125, -0.01953125, 0.03125, -1.19287109375, -0.7802734375, 3.24462890625, 1.85498046875, -0.31683349609375, -0.16094970703125, 0.765625, 0.53619384765625, 1015.98388671875, 31.063720703125
515160, -3.1171875, -5.72265625, 7.37109375, 0.056640625, 0.009765625, -0.0546875, 20.75, 15.9375, -26.6875, 0.0703125, -0.140625, 0.125, -1.19775390625, -0.767822265625, 3.2373046875, 1.86962890625, -0.31683349609375, -0.16046142578125, 0.7657470703125, 0.53619384765625, 1015.98388671875, 31.063720703125
515329, -3.23046875, -5.80078125, 7.41015625, 0.080078125, 0.013671875, -0.052734375, 21.75, 14.0625, -27.0625, 0.03125, -0.08984375, 0.03125, -1.20458984375, -0.751953125, 3.227294921875, 1.888671875, -0.3153076171875, -0.1568603515625, 0.76629638671875, 0.537353515625, 1015.98388671875, 31.063720703125
515447, -3.1171875, -5.72265625, 7.484375, 0.064453125, 0.01953125, 0.0078125, 21.875, 15.3125, -24.6875, 0.046875, -0.05859375, 0.109375, -1.209228515625, -0.734375, 3.21923828125, 1.90673828125, -0.3157958984375, -0.15667724609375, 0.76654052734375, 0.53680419921875, 1015.98388671875, 31.063720703125
515576, -3.19140625, -5.83984375, 7.484375, 0.0078125, -0.0078125, 0.009765625, 20.375, 14.75, -26.3125, -0.03125, 0.03515625, -0.07421875, -1.20947265625, -0.7333984375, 3.22021484375, 1.905029296875, -0.31591796875, -0.15692138671875, 0.76654052734375, 0.53668212890625, 1015.98388671875, 31.063720703125
515676, -3.19140625, -5.72265625, 7.5234375, 0.068359375, -0.009765625, -0.041015625, 21.875, 15.0, -24.6875, -0.17578125, 0.08984375, -0.05078125, -1.20849609375, -0.728515625, 3.226318359375, 1.8974609375, -0.3150634765625, -0.15521240234375, 0.7664794921875, 0.53765869140625, 1015.962646484375, 31.067718505859375
515877, -3.078125, -5.76171875, 7.5625, 0.041015625, -0.001953125, 0.015625, 20.9375, 14.4375, -25.1875, 0.046875, -0.08203125, 0.0546875, -1.212158203125, -0.72021484375, 3.216796875, 1.9140625, -0.31298828125, -0.15283203125, 0.76690673828125, 0.53900146484375, 1015.962646484375, 31.067718505859375
