Time,i,j,k,w,Pressure,Temperature,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
116539.0,0.66497802734375,-0.5146484375,0.4295654296875,0.329345703125,1005.839599609375,23.76959228515625,8.59375,-0.125,-4.00390625,-0.001953125,-0.00390625,-0.001953125,-195.8125,-23.125,76.4375,
116634.0,0.66473388671875,-0.51446533203125,0.429931640625,0.32958984375,1005.849609375,23.781158447265625,8.59375,-0.01171875,-3.96484375,0.0,0.029296875,0.001953125,-193.125,-22.875,76.25,
116695.0,0.66485595703125,-0.5145263671875,0.42974853515625,0.3294677734375,1005.838134765625,23.77191162109375,8.59375,-0.01171875,-3.92578125,-0.001953125,0.060546875,0.00390625,-193.0625,-22.875,76.5625,
116725.0,0.6646728515625,-0.514404296875,0.42999267578125,0.32965087890625,1005.838134765625,23.77191162109375,8.6328125,-0.05078125,-3.8515625,0.0,-0.09375,-0.00390625,-195.4375,-22.8125,74.375,
116755.0,0.66510009765625,-0.5146484375,0.429443359375,0.3292236328125,1005.85546875,23.77191162109375,8.5546875,-0.05078125,-4.04296875,0.00390625,0.103515625,0.005859375,-194.75,-22.625,74.75,
116990.0,0.66455078125,-0.5142822265625,0.4302978515625,0.329833984375,1005.850830078125,23.770751953125,8.6328125,-0.01171875,-3.7734375,0.0,-0.005859375,-0.00390625,-192.9375,-23.125,76.9375,
117472.0,0.664794921875,-0.51458740234375,0.42987060546875,0.32940673828125,1005.849609375,23.775360107421875,8.6328125,-0.01171875,-3.890625,-0.001953125,0.080078125,0.00390625,-193.4375,-23.0625,75.375,
117533.0,0.66461181640625,-0.51446533203125,0.43011474609375,0.32965087890625,1005.843017578125,23.777679443359375,8.59375,-0.01171875,-4.00390625,-0.005859375,0.09375,0.001953125,-193.5,-23.125,76.875,
117652.0,0.66473388671875,-0.5145263671875,0.42987060546875,0.3294677734375,1005.840576171875,23.759185791015625,8.5546875,-0.05078125,-3.92578125,0.001953125,-0.025390625,0.0,-193.0,-23.5625,76.6875,
117711.0,0.664794921875,-0.5145263671875,0.4298095703125,0.32940673828125,1005.83837890625,23.775360107421875,8.671875,0.02734375,-3.96484375,-0.001953125,0.0234375,0.0,-195.375,-23.3125,76.25,
117814.0,0.66461181640625,-0.51446533203125,0.4300537109375,0.32958984375,1005.852783203125,23.775360107421875,8.5546875,-0.05078125,-3.92578125,-0.001953125,-0.08984375,-0.001953125,-194.125,-22.6875,76.75,
117922.0,0.66461181640625,-0.51446533203125,0.4300537109375,0.32965087890625,1005.82763671875,23.778839111328125,8.515625,-0.125,-4.08203125,0.001953125,-0.162109375,-0.00390625,-193.9375,-23.3125,75.5625,
117983.0,0.66461181640625,-0.5145263671875,0.42999267578125,0.32958984375,1005.847412109375,23.76495361328125,8.59375,-0.05078125,-3.96484375,0.00390625,-0.029296875,0.0,-194.6875,-22.875,76.625,
118044.0,0.66461181640625,-0.51446533203125,0.4300537109375,0.32965087890625,1005.842041015625,23.778839111328125,8.59375,-0.08984375,-3.8125,0.0,-0.0625,-0.001953125,-194.625,-22.4375,76.9375,
